year,make,model,trim,state,mileage,color,interior,sellingprice
2008,Land Rover,Range Rover,HSE,ca,106136,silver,black,15500
2008,Land Rover,Range Rover,Supercharged,ca,83260,white,black,23500
2008,Land Rover,Range Rover,HSE,pa,118418,blue,beige,16300
2014,Land Rover,Range Rover,Supercharged,ca,17901,black,black,91000
2013,Land Rover,Range Rover,Supercharged,ga,12105,gray,tan,85500
2011,Land Rover,Range Rover,HSE,pa,105458,blue,beige,27500
2011,Land Rover,Range Rover,HSE,pa,70176,gray,black,29900
2010,Land Rover,Range Rover,Supercharged,pa,63736,black,black,34200
2008,Land Rover,Range Rover,Supercharged,ca,62537,black,black,23200
2008,Land Rover,Range Rover,HSE,nj,208255,gray,black,9200
2008,Land Rover,Range Rover,Supercharged,pa,107134,black,black,19000
2010,Land Rover,Range Rover,HSE,fl,87950,brown,tan,27800
2011,Land Rover,Range Rover,Supercharged,ca,57284,black,beige,41000
2008,Land Rover,Range Rover,Supercharged,ca,98765,white,white,21500
2011,Land Rover,Range Rover,Supercharged,ga,45629,black,tan,43400
2011,Land Rover,Range Rover,Supercharged,ga,48591,white,gray,46400
2012,Land Rover,Range Rover,HSE,ga,51507,black,tan,40000
2012,Land Rover,Range Rover,HSE,wi,61226,black,black,34000
2011,Land Rover,Range Rover,Supercharged,ca,73054,black,beige,33750
2010,Land Rover,Range Rover,HSE,fl,81285,black,beige,30200
2010,Land Rover,Range Rover,Supercharged,pa,59760,black,black,36500
2008,Land Rover,Range Rover,HSE,pa,89935,white,beige,18900
2012,Land Rover,Range Rover,HSE,pa,15431,black,tan,50800
2010,Land Rover,Range Rover,HSE,pa,52131,gray,brown,28400
2014,Land Rover,Range Rover,Ebony Edition,pa,16002,black,black,99000
2012,Land Rover,Range Rover,HSE,pa,33456,white,black,48000
2013,Land Rover,Range Rover,HSE,pa,47195,black,beige,75250
2014,Land Rover,Range Rover,Ebony Edition,ca,9925,white,black,60000
2014,Land Rover,Range Rover,Supercharged,ca,17983,black,black,76500
2014,Land Rover,Range Rover,Supercharged,ca,7434,black,gray,92500
2013,Land Rover,Range Rover,HSE,ca,22316,black,black,65000
2011,Land Rover,Range Rover,HSE,nc,106254,black,tan,30000
2010,Land Rover,Range Rover,HSE,fl,46348,burgundy,tan,31200
2013,Land Rover,Range Rover,Supercharged,ca,23252,brown,beige,83500
2011,Land Rover,Range Rover,HSE,ca,98772,white,beige,30500
2011,Land Rover,Range Rover,HSE,fl,58623,black,gray,35800
2010,Land Rover,Range Rover,HSE,ca,69471,white,brown,29250
2008,Land Rover,Range Rover,Supercharged,ca,84226,white,beige,23250
2014,Land Rover,Range Rover,Supercharged,fl,29530,silver,black,83000
2011,Land Rover,Range Rover,Supercharged,ny,61464,white,beige,39400
2010,Land Rover,Range Rover,HSE,la,39802,white,white,34100
2013,Land Rover,Range Rover,HSE,ma,56577,black,gray,74200
2011,Land Rover,Range Rover,HSE,la,81127,white,tan,30400
2010,Land Rover,Range Rover,HSE,ca,27411,green,white,32500
2011,Land Rover,Range Rover,HSE,fl,74560,green,beige,29600
2009,Land Rover,Range Rover,Supercharged,ca,77405,white,beige,27000
2012,Land Rover,Range Rover,HSE,pa,53077,white,tan,41750
2010,Land Rover,Range Rover,HSE,pa,58937,black,black,31000
2010,Land Rover,Range Rover,HSE,mo,45154,silver,black,31800
